date,sym,company,close,volume,open,high,low
04/01/2025,ADD,Color Star Technology Co Ltd,0.7249,392109,0.6733,0.73,0.635
04/01/2025,AXON,Axon Enterprise Inc,541.2,509615,521.59,542.9849,520.19
04/01/2025,CEG,Constellation Energy Corporation,206.94,2863111,200.95,207.76,198.09
04/01/2025,HON,Honeywell International Inc,213.45,2563812,211.11,213.63,209.6804
04/01/2025,HSHIP,Himalaya Shipping Ltd,5.45,104627,5.48,5.52,5.4
04/01/2025,STLD,Steel Dynamics Inc,124,1217768,124.1,125.2,122.5
04/01/2025,TT,Trane Techologies plc,341.65,1244999,336.35,342.35,334.3
04/01/2025,WPM,Wheaton Precious Metals Corp,76.83,1853259,77.63,77.72,75.68
05/01/2025,ADD,Color Star Technology Co Ltd,0.6887,192411,0.7,0.701,0.665
05/01/2025,AXON,Axon Enterprise Inc,621.1,450462,617.96,627.7299,613.02
05/01/2025,CEG,Constellation Energy Corporation,240.615,4557755,232.2,243.98,230.31
05/01/2025,HON,Honeywell International Inc,210.74,3591602,210.4,211.53,209.77
05/01/2025,HSHIP,Himalaya Shipping Ltd,5.32,73201,5.3,5.4077,5.27
05/01/2025,STLD,Steel Dynamics Inc,130.295,1274194,129.43,132.89,129.26
05/01/2025,TT,Trane Techologies plc,392.62,2106869,387.24,396.86,386.41
05/01/2025,WPM,Wheaton Precious Metals Corp,81.11,1923516,81.23,81.67,80.41
07/01/2025,ADD,Color Star Technology Co Ltd,0.8732,77357,0.8698,0.8972,0.845
07/01/2025,AXON,Axon Enterprise Inc,775.38,997650,825.89,829.5,765.5
07/01/2025,CEG,Constellation Energy Corporation,307.92,3553045,320.725,320.725,302.25
07/01/2025,HON,Honeywell International Inc,238.77,3921616,233.58,238.88,233.1923
07/01/2025,HSHP,Himalaya Shipping Ltd,5.78,105007,5.79,5.9,5.755
07/01/2025,STLD,Steel Dynamics Inc,130.155,2002448,127.81,131.915,126.305
07/01/2025,TT,Trane Techologies plc,434.17,1167932,434.205,436.78,428.41
07/01/2025,WPM,Wheaton Precious Metals Corp,89.38,1475256,91.05,91.41,89.2701
08/01/2025,ADD,Color Star Technology Co Ltd,0.74,55024,0.77,0.77,0.7154
08/01/2025,AXON,Axon Enterprise Inc,742.47,457681,739.46,747.4081,728
08/01/2025,CEG,Constellation Energy Corporation,340.77,2871922,336.435,343.3799,327.01
08/01/2025,HON,Honeywell International Inc,217.71,3966973,221.365,221.635,217.16
08/01/2025,HSHP,Himalaya Shipping Ltd,6.78,92116,6.92,6.95,6.68
08/01/2025,STLD,Steel Dynamics Inc,122.37,1623447,125.11,125.185,121.66
08/01/2025,TT,Trane Techologies plc,439.25,1527429,432.685,439.93,428.28
08/01/2025,WPM,Wheaton Precious Metals Corp,92.1,1622409,93.35,93.88,91.165
04/02/2025,ADD,Color Star Technology Co Ltd,0.719,554929,0.6854,0.7411,0.635
04/02/2025,AXON,Axon Enterprise Inc,558.42,731828,530.69,560.3,530.69
04/02/2025,CEG,Constellation Energy Corporation,214.46,3179066,202.83,215.34,202.27
04/02/2025,HON,Honeywell International Inc,215.99,3423931,212.49,216.41,212.325
04/02/2025,HSHIP,Himalaya Shipping Ltd,5.55,99268,5.51,5.57,5.45
04/02/2025,STLD,Steel Dynamics Inc,127.36,1263424,122.965,127.57,122.36
04/02/2025,TT,Trane Techologies plc,347.94,1017437,335.64,350.24,335.64
04/02/2025,WPM,Wheaton Precious Metals Corp,77.66,2028416,77.14,77.8,75.74
05/02/2025,ADD,Color Star Technology Co Ltd,0.6901,217911,0.68,0.704,0.6702
05/02/2025,AXON,Axon Enterprise Inc,628.16,507953,632.18,638.35,626.46
05/02/2025,CEG,Constellation Energy Corporation,247.26,3316025,244.28,250.64,241.5634
05/02/2025,HON,Honeywell International Inc,214.13,4378676,212.18,214.94,212.015
05/02/2025,HSHIP,Himalaya Shipping Ltd,5.42,41518,5.46,5.49,5.38
05/02/2025,STLD,Steel Dynamics Inc,134.94,1021062,132.32,135.245,131.49
05/02/2025,TT,Trane Techologies plc,399.59,1323360,395.9,402.17,394.391
05/02/2025,WPM,Wheaton Precious Metals Corp,80.84,1389229,82,82.3,80.1
06/02/2025,ADD,Color Star Technology Co Ltd,0.9363,279830,0.91,0.9955,0.905
06/02/2025,AXON,Axon Enterprise Inc,758.57,521175,755,765,742.8
06/02/2025,CEG,Constellation Energy Corporation,313.43,2097119,306.89,313.9,304.57
06/02/2025,HON,Honeywell International Inc,225.52,2531738,225,225.94,223.03
06/02/2025,HSHIP,Himalaya Shipping Ltd,6.08,110855,5.96,6.1,5.96
06/02/2025,STLD,Steel Dynamics Inc,135.71,3317759,135.6,142.42,134.14
06/02/2025,TT,Trane Techologies plc,430.36,885052,427.52,430.62,422.06
06/02/2025,WPM,Wheaton Precious Metals Corp,91.83,2707797,88.66,91.88,88.3
07/02/2025,ADD,Color Star Technology Co Ltd,0.892,1489590,0.86,0.9308,0.86
07/02/2025,AXON,Axon Enterprise Inc,774.55,574326,774.68,782.9813,756.72
07/02/2025,CEG,Constellation Energy Corporation,306.63,2106482,306.88,310.32,303.01
07/02/2025,HON,Honeywell International Inc,239.26,4103296,238.16,240.52,236.915
07/02/2025,HSHP,Himalaya Shipping Ltd,5.97,101441,5.86,6.02,5.86
07/02/2025,STLD,Steel Dynamics Inc,134.06,1652092,131.61,134.34,130.925
07/02/2025,TT,Trane Techologies plc,432.71,917451,432.38,435.28,428.83
07/02/2025,WPM,Wheaton Precious Metals Corp,89.69,1035623,89.92,90.14,88.55
03/03/2025,ADD,Color Star Technology Co Ltd,1.11,182096,1.16,1.16,1.1
03/03/2025,AXON,Axon Enterprise Inc,525.75,876097,532.84,541.75,520.6701
03/03/2025,CEG,Constellation Energy Corporation,232.29,5315016,249.38,249.7215,229.24
03/03/2025,HON,Honeywell International Inc,212.02,5333469,213.72,216.055,211.03
03/03/2025,HSHIP,Himalaya Shipping Ltd,5.34,309573,5.55,5.58,5.335
03/03/2025,STLD,Steel Dynamics Inc,130.5,1926157,136.78,137.83,129.56
03/03/2025,TT,Trane Techologies plc,346.24,1784497,356.38,356.5,342.98
03/03/2025,WPM,Wheaton Precious Metals Corp,68.74,1746921,69.85,70.97,68.25
04/03/2025,ADD,Color Star Technology Co Ltd,0.6692,105884,0.6615,0.7,0.652
04/03/2025,AXON,Axon Enterprise Inc,539.69,662053,532.67,553.6,528.76
04/03/2025,CEG,Constellation Energy Corporation,190.24,5557506,200.47,204.0469,189.78
04/03/2025,HON,Honeywell International Inc,206.68,6510705,213.59,216.29,206.3324
04/03/2025,HSHIP,Himalaya Shipping Ltd,5.36,334610,5.36,5.44,5.27
04/03/2025,STLD,Steel Dynamics Inc,116.06,1878302,121.65,122.0597,115.91
04/03/2025,TT,Trane Techologies plc,331.04,1563331,333.07,338.41,329.36
04/03/2025,WPM,Wheaton Precious Metals Corp,78.5,3417204,74.2,80.43,73.734
06/03/2025,ADD,Color Star Technology Co Ltd,0.9358,235053,0.9082,0.9567,0.89
