category,item,variety,date,unit,price
fruit,apples,bramleys_seedling,13/10/2025,kg,1.27
fruit,apples,coxs_orange_group,13/10/2025,kg,1.22
fruit,apples,egremont_russet,13/10/2025,kg,1.46
fruit,apples,braeburn,13/10/2025,kg,1.38
fruit,apples,gala,13/10/2025,kg,1.23
fruit,blackberries,blackberries,13/10/2025,kg,15.35
fruit,blueberries,blueberries,13/10/2025,kg,12.19
fruit,pears,conference,13/10/2025,kg,1.22
fruit,pears,doyenne_du_comice,13/10/2025,kg,1.17
fruit,plums,all_other,13/10/2025,kg,1.52
fruit,raspberries,raspberries,13/10/2025,kg,13.16
fruit,strawberries,strawberries,13/10/2025,kg,4.08
vegetable,beans,dwarf_french_or_kidney,13/10/2025,kg,1.87
vegetable,beans,runner_climbing,13/10/2025,kg,3.92
vegetable,beetroot,beetroot,13/10/2025,kg,0.7
vegetable,brussels_sprouts,brussels_sprouts,13/10/2025,kg,1
vegetable,pak_choi,pak_choi,13/10/2025,kg,3.5
vegetable,curly_kale,curly_kale,13/10/2025,kg,4.19
vegetable,cabbage,red,13/10/2025,kg,0.54
vegetable,cabbage,savoy,13/10/2025,head,0.64
vegetable,spring_greens,prepacked,13/10/2025,kg,1.39
vegetable,cabbage,summer_autumn_pointed,13/10/2025,kg,0.79
vegetable,cabbage,white,13/10/2025,kg,0.52
vegetable,cabbage,round_green_other,13/10/2025,head,0.62
vegetable,calabrese,calabrese,13/10/2025,kg,1.88
vegetable,capsicum,green,13/10/2025,kg,1.3
vegetable,capsicum,red,13/10/2025,kg,1.08
vegetable,capsicum,elongated,13/10/2025,kg,1.5
vegetable,carrots,topped_washed,13/10/2025,kg,0.52
vegetable,cauliflower,all,13/10/2025,head,1
vegetable,celery,all_washed,13/10/2025,kg,1.18
vegetable,celeriac,celeriac,13/10/2025,kg,0.86
vegetable,chinese_leaf,chinese_leaf,13/10/2025,kg,1.28
vegetable,coriander,coriander,13/10/2025,kg,4.02
vegetable,courgettes,courgettes,13/10/2025,kg,1.87
vegetable,cucumbers,cucumbers,13/10/2025,kg,0.69
vegetable,leeks,trimmed,13/10/2025,kg,1.47
vegetable,lettuce,butterhead_indoor,13/10/2025,head,0.48
vegetable,lettuce,cos,13/10/2025,head,0.71
vegetable,lettuce,crisp_iceberg_type,13/10/2025,head,0.7
vegetable,lettuce,little_gem,13/10/2025,twin,0.83
vegetable,rocket,rocket,13/10/2025,kg,5.5
vegetable,mixed_babyleaf_salad,pillow_pack,13/10/2025,kg,5.4
vegetable,onion,bulb_brown,13/10/2025,kg,0.51
vegetable,onion,bulb_red,13/10/2025,kg,0.77
vegetable,onion,saladspring,13/10/2025,kg,0.45
vegetable,swede,swede,13/10/2025,kg,0.25
vegetable,turnip,turnip,13/10/2025,kg,1.38
vegetable,parsnips,all_varieties,13/10/2025,kg,1.14
vegetable,spinach_leaf,loose_bunches,13/10/2025,kg,2.54
vegetable,sweetcorn,sweetcorn,13/10/2025,head,0.43
vegetable,tomatoes,round,13/10/2025,kg,1.4
vegetable,tomatoes,vine,13/10/2025,kg,1.1
fruit,apples,bramleys_seedling,29/09/2025,kg,1.35
fruit,apples,coxs_orange_group,29/09/2025,kg,1.36
fruit,apples,egremont_russet,29/09/2025,kg,1.49
fruit,apples,braeburn,29/09/2025,kg,1.19
fruit,apples,gala,29/09/2025,kg,1.39
fruit,apples,other_early_season,29/09/2025,kg,1.1
fruit,blackberries,blackberries,29/09/2025,kg,13.73
fruit,blueberries,blueberries,29/09/2025,kg,11.46
fruit,pears,conference,29/09/2025,kg,1.25
fruit,plums,victoria,29/09/2025,kg,1.98
fruit,plums,all_other,29/09/2025,kg,1.86
fruit,raspberries,raspberries,29/09/2025,kg,11.56
fruit,strawberries,strawberries,29/09/2025,kg,5.4
vegetable,beans,dwarf_french_or_kidney,29/09/2025,kg,2.05
vegetable,beans,runner_climbing,29/09/2025,kg,4.17
vegetable,beetroot,beetroot,29/09/2025,kg,0.73
vegetable,brussels_sprouts,brussels_sprouts,29/09/2025,kg,1.05
vegetable,pak_choi,pak_choi,29/09/2025,kg,3.59
vegetable,curly_kale,curly_kale,29/09/2025,kg,4.04
vegetable,cabbage,red,29/09/2025,kg,0.57
vegetable,cabbage,savoy,29/09/2025,head,0.67
vegetable,spring_greens,prepacked,29/09/2025,kg,0.97
vegetable,cabbage,summer_autumn_pointed,29/09/2025,kg,0.8
vegetable,cabbage,white,29/09/2025,kg,0.54
vegetable,cabbage,round_green_other,29/09/2025,head,0.64
vegetable,calabrese,calabrese,29/09/2025,kg,1.82
vegetable,capsicum,green,29/09/2025,kg,1.4
vegetable,capsicum,red,29/09/2025,kg,1.14
vegetable,capsicum,elongated,29/09/2025,kg,1.5
vegetable,capsicum,yelloworange,29/09/2025,kg,1.6
vegetable,carrots,topped_washed,29/09/2025,kg,0.52
vegetable,cauliflower,all,29/09/2025,head,0.63
vegetable,celery,all_washed,29/09/2025,kg,1.14
vegetable,celeriac,celeriac,29/09/2025,kg,0.95
vegetable,chinese_leaf,chinese_leaf,29/09/2025,kg,1.29
vegetable,coriander,coriander,29/09/2025,kg,3.93
vegetable,courgettes,courgettes,29/09/2025,kg,1.83
vegetable,cucumbers,cucumbers,29/09/2025,kg,0.92
vegetable,leeks,trimmed,29/09/2025,kg,1.47
vegetable,lettuce,butterhead_indoor,29/09/2025,head,0.49
vegetable,lettuce,cos,29/09/2025,head,0.74
vegetable,lettuce,crisp_iceberg_type,29/09/2025,head,0.69
vegetable,lettuce,little_gem,29/09/2025,twin,0.84
vegetable,rocket,rocket,29/09/2025,kg,5.63
vegetable,mixed_babyleaf_salad,pillow_pack,29/09/2025,kg,4.94
vegetable,onion,bulb_brown,29/09/2025,kg,0.49
vegetable,onion,bulb_red,29/09/2025,kg,0.74
vegetable,onion,saladspring,29/09/2025,kg,0.41
vegetable,swede,swede,29/09/2025,kg,0.26
vegetable,turnip,turnip,29/09/2025,kg,1.51
vegetable,parsnips,all_varieties,29/09/2025,kg,1.29
vegetable,rhubarb,outdoor,29/09/2025,kg,2.19
vegetable,spinach_leaf,loose_bunches,29/09/2025,kg,2.58
vegetable,sweetcorn,sweetcorn,29/09/2025,head,0.38
vegetable,tomatoes,round,29/09/2025,kg,1.4
vegetable,tomatoes,vine,29/09/2025,kg,1.1
fruit,apples,bramleys_seedling,15/09/2025,kg,1.3
fruit,apples,coxs_orange_group,15/09/2025,kg,1.42
fruit,apples,egremont_russet,15/09/2025,kg,1.62
fruit,apples,gala,15/09/2025,kg,1.43
fruit,apples,other_early_season,15/09/2025,kg,1.11
fruit,apples,other_mid_season,15/09/2025,kg,1.32
fruit,blackberries,blackberries,15/09/2025,kg,13.49
fruit,blueberries,blueberries,15/09/2025,kg,11.21
fruit,pears,conference,15/09/2025,kg,1.21
fruit,pears,other,15/09/2025,kg,1
fruit,plums,victoria,15/09/2025,kg,2.14
fruit,plums,all_other,15/09/2025,kg,1.8
fruit,raspberries,raspberries,15/09/2025,kg,12.25
fruit,strawberries,strawberries,15/09/2025,kg,5.65
vegetable,beans,dwarf_french_or_kidney,15/09/2025,kg,2.35
vegetable,beans,runner_climbing,15/09/2025,kg,3.15
vegetable,beetroot,beetroot,15/09/2025,kg,0.74
vegetable,brussels_sprouts,brussels_sprouts,15/09/2025,kg,1.13
vegetable,pak_choi,pak_choi,15/09/2025,kg,3.71
